title|category|tags_string|date|content
No Title|Образование|None|No Date|No Content
«Подвези ветерана», «Георгиевская лента», «Солдатская каша» - такие акции пройдут в Магадане в День Победы|Общество|День Победы|02.05.2017|"МАГАДАН. КОЛЫМА-ИНФОРМ. Управлением по делам молодежи и связям с общественностью мэрии города Магадана в празднования 72-й годовщины Победы в Великой Отечественной войне 1941-1945 гг. будут проведены городские акции «Подвези ветерана», «Георгиевская лента», «Солдатская каша». Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г.Магадана.Городская акция «Подвези ветерана».Волонтеры-автолюбители окажут помощь ветеранам Великой Отечественной войны в транспортировке к местам проведения праздничных мероприятий, посвященных 72-й годовщине Победы в Великой Отечественной войне.Приглашаем неравнодушных автомобилистов присоединиться к акции и помочь ветеранам добраться до мест проведения торжеств!Контактное лицо: Ирина Владимировна Мурзабаева – ведущий специалист отдела по делам молодежи управления по делам молодежи и связям с общественностью мэрии города Магадана, тел.: 89140314966.Акция «Георгиевская лента».Членами Городского волонтерского корпуса жителям Магадана во время праздничных мероприятий будет раздаваться Георгиевская лента, как знак доблести русского солдата, памяти о бесценном подвиге, совершенном нашими солдатами ради жизни новых поколений.Акция «Солдатская каша».9 мая 2017 года в 13 часов начнется раздача вкусной «Солдатской» каши и чая на четырех точках города: Магаданская площадь, МАУК города Магадана «Центр культуры», сквер 70-летия города Магадана и верхняя площадка Городского парка."
Прокуратура г. Магадана направила в суд уголовное дело о ДТП, в котором серьезно пострадал водитель|Происшествия|ДТП|30.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Прокуратурой г. Магадана утверждено обвинительное заключение по уголовному делу в отношении 46-летнего местного жителя. Он обвиняется в совершении преступления, предусмотренного ч. 1 ст. 264 УК РФ (нарушение лицом, управляющим автомобилем, правил дорожного движения, повлекшее по неосторожности причинение тяжкого вреда здоровью человека).  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в прокуратуре Магаданской области.По версии следствия, в феврале 2024 г. водитель пожарного автомобиля – специализированной автоцистерны не принял меры для обеспечения безопасности движения.Управляя транспортным средством с включенным проблесковым маячком синего цвета и специальным звуковым сигналом, не убедился, что ему уступают дорогу и выехал на перекресток улиц Кольцевая и Гагарина на запрещающий красный сигнал светофора.В результате преступного легкомыслия произошло столкновение крупногабаритного транспорта с легковым автомобилем марки «Субару Форестер», водитель которого серьезно пострадал, ему причинен тяжкий вред здоровью.Обвиняемому грозит наказание в виде лишения свободы на срок до двух лет с лишением права занимать определенные должности или заниматься определенной деятельностью.Рассмотрение уголовного дела состоится в Магаданском городском суде."
ВТБ увеличил портфель средств розничных клиентов на треть|Разное|ВТБ|19.09.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. С начала года портфель классических сбережений розничных клиентов ВТБ вырос на 31% и достиг 9 трлн рублей. Основной спрос сегодня приходится на среднесрочные вклады в рублях и накопительные счета. При новом повышении ставок интерес к ним может только усилиться.Портфель рублевых пассивов ВТБ в текущем году вырос на треть (+34%) до 8,4 трлн рублей. Основным инструментом накопления остаются краткосрочные и среднесрочные депозиты. На них приходится 79% размещенных средств. Вклады до 3 месяцев занимают 12% портфеля. Депозиты до полугода выбирают 48% вкладчиков. В сентябре более чем в два раза выросла доля тех, кто выбирает вклады на срок до года. Средний чек по вкладам в рублях увеличился с начала года на 13% - до 578 тысяч рублей.Объем накопительных счетов, открытых в ВТБ, вырос с начала года в 1,5 раза - до 1,8 трлн рублей.«Чтобы максимизировать свою доходность, многие клиенты сегодня используют одновременно несколько вкладов и накопительных счетов, в том числе - с привязкой к ключевой ставке», – прокомментировал старший вице-президент ВТБ Дмитрий Брейтенбихер.
Вопросы экономического и туристического развития региона – приоритеты в работе Петра Голубовского|Власть и политика|ОблДума|01.08.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Депутат Магаданской областной Думы Петр Голубовский, избранный по одномандатному округу №1, представил информацию о работе в первом полугодии 2024 года. Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе Магаданской областной Думы.Он состоит в комитетах по социальной политике, по экономическому развитию, бюджету и налогам, является заместителем председателя Эколого-туристического совета при заксобрании, членом фракции «Единая Россия». Кроме того, работает в координационном совете по туризму при Правительстве Магаданской области, межведомственной группе по вопросам благоустройства города Магадана, архитектурно-градостроительном совете региона, Общественном совете при региональном министерстве природных ресурсов и экологии, попечительском совете Северо-Восточного государственного университета. Действительный член Русского географического общества. Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе Магаданской областной Думы.Вопросы экономического и туристического развития региона, социальной политики, их эффективности продолжают оставаться в зоне особого внимания парламентария. Так, депутат участвовал в заседании Эколого-туристического совета при Магаданской областной Думе, на котором обсуждали вопросы реализации Стратегии развития туризма в регионе, развития экологического туризма на особо охраняемых природных территориях Магаданской области в Государственном природном заповеднике «Магаданский» и национальном парке «Черский» имени А.В. Андреева, благоустройства ключевых туристских локаций, деятельности Агентства по туризму в направлении продвижения региона в сфере туризма.За отчетный период депутату поступило 23 обращения граждан, руководителей организаций различных форм собственности. Из них на личный прием пришли 16 избирателей. По словам депутата, обращения были связаны с вопросами здравоохранения, жилищно-коммунального хозяйства и оказания материальной помощи.- В текущем году неоднократно поступали обращения избирателей с жалобами на гнездование чаек на крышах жилых домов, административных зданий. В связи с этим в департамент ЖКХ и коммунальной инфраструктуры мэрии города Магадана направлен депутатский запрос о мерах ответственности в отношении управляющих компаний, ТСЖ и балансодержателей зданий за непринятие мер по очистке крыш от гнезд тихоокеанских чаек. В регионе действует программа регулирования численности этих птиц до 2025 года, в которой указаны сроки уборки крыш домов - с 15 мая по 15 июня ежедневно, каждый год, но не предусмотрена какого-либо вида ответственность за неисполнение данных мероприятий. Учитывая особую социальную значимость данной проблемы, инициировал вопрос об установлении административной ответственности на уровне регионального законодательства, - сказал парламентарий.Петр Голубовский является также директором по развитию одной из самых крупных в регионе рыбодобывающих организаций – ООО «Тихрыбком». Часть пожеланий избирателей, связанных с материальными затратами, исполняется силами депутата. Он систематически принимает участие в различных социальных и благотворительных проектах по поддержке талантливой молодежи, детей-сирот, ребят с ограничениями здоровья, пожилых колымчан. Ежегодно студенты СВГУ и Политехникума получают именные стипендии. Регулярно предоставляется гуманитарная продовольственная помощь в виде морепродуктов ветеранам Великой Отечественной войны, инвалидам, участникам специальной военной операции. Не оставлены без внимания медицинские и образовательные учреждения региона. Так, Городской поликлинике неоднократно оказывалась финансовая помощь для оплаты запчастей автомобилей, приобретения медицинского инвентаря.Впервые зимой текущего года на ГК «Снегорка» проведено несколько этапов Кубка по керлингу. По словам депутата, «новый вид зимнего спорта пришелся магаданцам по душе, помог объединиться и разнообразить выходные любителям активного отдыха на свежем воздухе».Петр Голубовский систематически оказывает помощь Магаданскому военному спортивно-техническому центру «Подвиг» в поддержании материальной базы клуба, в проведении открытых городских военно-прикладных соревнований, приобретении наград и призов победителям и участникам, организации досуга подростков.Петр Голубовский проводит прием граждан ежедневно (кроме субботы и воскресенья) с 14.00 до 18.00 по адресу: ул. Портовая, д. 1, г. Магадан. Запись по телефону: 8(4132)62-80-90 (доб. 227)."
Магаданский музыкальный и драматический театр - гастроли и премьеры. Репертуар на неделю.|Культура и искусство|Театр|12.10.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. Какие постановки смогут увидеть магаданцы и гости Колымы в главном театре региона на следующей неделе:- 15 октября (вт) 15:00 и 19:00. «ВРЕДНЫЕ СОВЕТЫ» (6+). Фолк-рок-рэп-поп-фантазия для взрослеющих детей.ГАСТРОЛИ московского «Театра на Трубной».Балетмейстер – знаменитый хореограф Егор ДружининМагаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr5iX- 16 октября (ср) 19:00. «СПАСТИ КАМЕР-ЮНКЕРА ПУШКИНА» (16+). История несостоявшегося подвига.ГАСТРОЛИ московского «Театра на Трубной».Спектакль номинант премии «Золотая маска» 2013-2014 гг.Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr5v6- 17 октября (чт) 19:00. «КОГДА КИТЫ УХОДЯТ» (16+). Современная легенда.Премьера!Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr65a- 18 октября (пт) 19:00. «БАБИЙ БУНТ» (12+). Музыкальная комедия в 2х действиях.Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr6FJ- 19 октября (сб) 18:00. «КОКТЕЙЛЬ ПО-ФРАНЦУЗСКИ» (16+). Комедия-бурлеск в 2х действиях.Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr6Ps- 20 октября (вс) 18:00. «КОГДА КИТЫ УХОДЯТ» (16+). Современная легенда. Премьера!Магаданский музыкальный и драматический театр (пр. Карла Маркса, 30).https://clck.ru/3Dr6U7
От 2025 года работающие магаданцы ждут повышения дохода, карьерного роста и снижения нагрузки|Разное|None|20.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. В опросе сервиса по поиску высокооплачиваемой работы SuperJob приняли участие трудоустроенные представители экономически активного населения.71% магаданцев в новом году ожидают повышения зарплаты, по 33% — стабильности и карьерного роста, 23% — адекватности от руководства, 20% — новых интересных задач. На улучшение условий труда надеется 19%, на расширение компенсационного пакета — 17%. 11% мечтают о снижении нагрузки, а 10% надеются на признание их заслуг перед компанией. Ничего не ждут от работы только 6% горожан.У мужчин и женщин основные надежда — на повышение зарплаты, но женщины чаще мужчин заявляли об этом. Помимо роста дохода, женщины чаще мужчин ждут в новом году адекватности от руководства, улучшения условий труда и снижения нагрузки. Мужчины же больше надеются на новые интересные задачи и на признание услуг.Молодые люди чаще тех, кто старше, хотели бы в новом году построить продуктивные отношения с руководством, работать над новыми интересными задачами в более комфортных условиях, а те, кому более 45 лет, гораздо чаще тех, кто моложе, мечтают о повышении зарплаты и о стабильной работе компании.Время проведения: 12—14 ноября 2024 года
Сергей Абрамов откроет декаду приемов граждан, посвященную годовщине образования «Единой России»|Общество|ОблДума|29.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. С 1 по 10 декабря в региональной общественной приемной председателя «Единой России» Д.А. Медведева состоится традиционная декада приемов граждан. Она приурочена к 23-й годовщине создания партии. Откроет декаду руководитель региональной общественной приемной, Председатель Магаданской областной ДумыСергей Абрамов. Он проведет прием 2 декабря в 15:00.Свои обращения колымчане смогут адресовать депутатам всех уровней, сенаторам, руководителям министерств и ведомств, главам муниципалитетов, юристам, региональным координатором партийных проектов, представителям контролирующих структур.Заместитель Председателя Магаданской областной Думы, руководитель партийного проекта «Крепкая семья» Виктория Голубева проведет прием 3 декабря в 14:00. Также в этот день на вопросы заявителей посредством интернет-связи ответит сенатор Сергей Иванов. Вице-спикер заксобрания Андрей Зыков встретится с колымчанами в партийной приемной 4 декабря в 14:00. Депутат Петр Голубовский организует прием 5 декабря в 10:00, первый зампред областной Думы Эдуард Козлов – в 14:00, парламентарий, руководитель Центра поддержки семей мобилизованных Ксения Суханкина – в 15:00.Также в ходе декады приемы проведут Губернатор Магаданской области, мэр Магадана, депутат Государственной Думы от региона, уполномоченные по правам человека, по правам ребенка и по защите прав предпринимателей, министры, депутаты городской Думы, специалисты Роспотребнадзора, Государственной жилищной инспекции, Фонда пенсионного и социального страхования, департамента административных органов Магаданской области.Встречи с колымчанами пройдут как в региональной общественной приемной, так и на дополнительных площадках, в том числе в муниципалитетах. Помимо очного формата, предусмотрены онлайн-приемы.Запись осуществляется по телефону 8(4132)60-09-60, адресу электронной почты op@magadan.er.ru.
Магаданцев приглашают творить «Добро на Колыме»|Общество|Волонтеры|29.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В Магаданской области 6 декабря планируется проведение регионального форума добровольцев «Добро на Колыме». Организаторами выступают департамент молодежной политики Магаданской области, Ресурсный центр по поддержке добровольчества (волонтерства).  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г. Магадана.Цель форума - создание площадки для обмена опытом, знаниями и ресурсами между добровольцами и организаторами добровольческой деятельности с целью повышения эффективности социальных инициатив, сплочения команд и развития волонтерского движения в Магаданской области.В рамках форума планируется проведение образовательных встреч, практических занятий и мастер-классов с участием федеральных и региональных экспертов для следующих категорий:добровольцы (волонтеры);организаторы добровольческой (волонтерской) деятельности;- специалисты государственных органов и учреждений, ответственные за взаимодействие с добровольцами (волонтерами) и добровольческими (волонтерскими) объединениями.Регистрация доступна по ссылке: https://dobro.ru/event/10956947.По всем возникающим вопросам можно обращаться по телефону: +7 (4132) 62-76-84, электронная почта: SomovDV@49gov.ru."
"Проезд открыт для всех видов транспорта без ограничений. Исключение составляет участок дороги ""Палатка-Кулу-Нексикан"" км 472."|Транспорт|Трасса|02.12.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. Министерство дорожного хозяйства и транспорта Магаданской области  информирует, что 02 декабря 2024 года на автомобильных дорогах общего пользования регионального и межмуниципального значения задействовано 57 единиц техники.Проезд открыт для всех видов транспорта без ограничений.Исключение составляет участок автомобильной дороги ""Палатка-Кулу-Нексикан"" км 472.Паромная переправа через р. Яна ЗАКРЫТА для всех видов транспорта"
63-летняя жительница Синегорья лишилась почти 340 тысяч рублей, пытаясь защитить свои финансы|Происшествия|None|01.12.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В дежурную часть Отделения МВД России по Ягоднинскому району с заявлением по факту мошенничества обратилась 63-летняя жительница поселка Синегорье. Она рассказала, что на номер её телефона поступали звонки от «сотрудников сотовой связи, Портала госуслуг и банка».  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе УМВД России по Магаданской области.«Специалисты» вводили пенсионерку в заблуждение, поясняя ей, что мошенники могут завладеть её денежными средствами. Испугавшись за свои финансы, колымчанка следовала указаниям, а именно, перечислила почти 340 тысяч рублей на «безопасные счета».Следователем возбуждено уголовное дело по признакам преступления, предусмотренного ч. 3 ст. 159 УК РФ (мошенничество). Максимальная санкция – лишение свободы на срок до шести лет."
Смерть молодого человека в магазине Магадана не носит криминальный характер|Происшествия|None|09.04.2020|"МАГАДАН. КОЛЫМА-ИНФОРМ. Следственным управлением проводится процессуальная проверка по факту смерти 18-летнего юноши в городе МагаданСледственными органами СУ СК России по Магаданской области проводится процессуальная проверка по факту смерти молодого человека по признакам преступлений, предусмотренных ч. 1 ст. 105 УК РФ (убийство) и ч. 4 ст. 111 УК РФ (умышленное причинение тяжкого вреда здоровью, повлекшее по неосторожности смерть потерпевшего).  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе следственного управления СК РФ по Магаданской области.Предварительно установлено, что в дневное время 8 апреля 2020 года в супермаркете «Спутник», расположенном на Комсомольской площади в областном центре, обнаружено тело 18-летнего жителя Магадана без внешних признаков насильственной смерти.По результатам проведенного судебно-медицинского исследования тела погибшего установлено, что смерть последнего не носит криминальный характер.В настоящее время следователем проведен осмотр места происшествия, для выяснения точной причины смерти назначена медицинская судебная экспертиза, проводятся необходимые проверочные мероприятия, направленные на установление всех обстоятельств происшествия, в том числе предшествующих гибели мужчины.Материал проверки находится на контроле у руководства следственного управления."
"Колымчанин продиктовал код из СМС и перечислил свыше 300 тысяч рублей на ""безопасный счет"" по указанию неизвестных"|Происшествия|None|25.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В дежурную часть Отделения МВД России по Хасынскому району с заявлением по факту кибермошенничества обратился 58-летний житель поселка Палатка.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе УМВД России по Магаданской области.Выяснилось, что на номер телефона гражданина позвонили неизвестные и представились сотрудниками Портала госуслуг, а также финансовыми экспертоми.«Специалисты» убедили колымчанина продиктовать код из СМС, оформить кредит и перечислить свыше 300 тысяч рублей на «безопасный счет».Они пояснили ему, что такими действиями он предотвратит мошеннические действия по его банковскому счету.Заявитель понял, что стал жертвой мошенников, когда попытался войти в свой личный кабинет Портала госуслуг. Оказалось, что он был взломан.Возбуждены уголовные дела по признакам преступлений, предусмотренных ч. 2 ст. 272 УК РФ (неправомерный доступ к компьютерной информации) и ч. 3 ст. 159 УК РФ (мошенничество)."
Запрет движения чайлдфри в России поддерживают 33% магаданцев|Общество|Семья|19.07.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. В опросе сервиса по поиску высокооплачиваемой работы SuperJob приняли участие представители экономически активного населения из Магадана.Член комитета Государственной Думы по безопасности Б. Хамзаев обратился в Министерство юстиции с предложением запретить в России движение чайлдфри. Согласно опросу SuperJob мнение магаданцев по этому поводу разделилось: 33% опрошенных поддерживают инициативу, 29% выступают против.Мужчины чаще женщин высказывались в поддержку запрета движения чайлдфри. Чем старше респонденты и чем выше их доход, тем чаще они одобряли эту инициативу.Выше всего уровень поддержки предложения Б. Хамзаева продемонстрировали горожане, имеющие детей: 37% против 28% среди бездетных.Время проведения: 8—11 июля 2024 года
Классные часы, выставки, экскурсии, показы и тематические беседы – городские учреждения готовятся отметить памятные даты (6+)|Общество|Память|28.11.2024|МАГАДАН. КОЛЫМА-ИНФОРМ. В первой декаде декабря городские учреждения проведут 90 различных мероприятий, посвященных Дню Неизвестного солдата и Дню Героев Отечества. Соответствующее постановление накануне подписал мэр областного центра Юрий Гришан. В утвержденный план вошли различные выставки и книжные инсталляции, экскурсии, тематические уроки, беседы и викторины.- Для нас важно, чтобы будущие поколения знали и любили свою Родину. Наша задача воспитать настоящих граждан сильной и справедливой страны, преданных своей семье, Отечеству и родному краю, - считает глава города Юрий Гришан.День Неизвестного солдата — памятная дата в России, отмечаемая ежегодно 3 декабря в память о российских и советских воинах, погибших в боевых действиях на территории страны или за её пределами. Именно в этот день, в 1966 году, в ознаменование 25-й годовщины разгрома немецких войск под Москвой, прах неизвестного солдата был перенесён из братской могилы на 41-м километре Ленинградского шоссе и торжественно захоронен у стены Московского Кремля в Александровском саду.День Героев Отечества (или просто День Героев) — памятная дата, которая отмечается в России ежегодно, 9 декабря. Она была установлена Государственной Думой Российской Федерации 26 января 2007 года. В пояснительной записке к законопроекту значилось: «Мы не только отдаем дань памяти героическим предкам, но и чествуем ныне живущих Героев Советского Союза, Героев Российской Федерации, кавалеров ордена Святого Георгия и ордена Славы».Основные городские мероприятия пройдут 3 декабря. В Галерее Боевой Славы запланированы тематические беседы и обзорные экскурсии по экспозициям музея. В Сквере Победы 9 декабря в 12:00 состоится церемония возложения цветов. В кинотеатре «Горняк» 7 декабря пройдет бесплатный показ фильма «Баллада о солдате» (12+).Подробный план мероприятий см.приложение.
Подготовка к юбилею Победы, итоги акции «За ЗОЖ», набор волонтеров в медиагруппу|Общество|Видеорепортажи|29.11.2024|"МАГАДАН. КОЛЫМА-ИНФОРМ. В мэрии областного центра прошло заседание Координационного молодежного совета. На совещании подвели итоги городской акции «За здоровый образ жизни», наметили планы работ на ближайшее время, анонсировали грядущие события: в начале 2025-го года в Магадане выберут студента года, состоится конкурс «Звездопад», а в мае отпразднуют 80-ю годовщину Великой Победы.  Об этом сообщили РИА ""КОЛЫМА-ИНФОРМ"" в пресс-службе мэрии г. Магадана.Мероприятий у нас, традиционно, предстоит много. Много работы для нашей молодежи, волонтеров и волонтерских организаций. Призываю откликнуться творческих ребят и не бояться заявить о себе в конкурсе «Звездопад». Также ждем предложений и, возможно, новых интересных форматов проведения мероприятий, посвященных Победе в Великой Отечественной войне. Уже сейчас мы определили, что девизом этого события станет: «Время победителей», - сообщил заместитель мэра Магадана, председатель КМС Юрий Казетов.В рамках месячника военно-патриотического воспитания, который проходит в декабре-январе, состоятся открытые городские лично-командные соревнования по военно-спортивному многоборью «Молодая гвардия». Заявки на участие от команд принимают до 12 декабря, сообщил Владислав Михайлов, заместитель директора по патриотическому воспитанию и допризывной подготовке центра «Подвиг». С положением можно ознакомиться здесь.В Магадане прошла ежегодная городская акция «За здоровый образ жизни». По информации управления по делам молодежи и связям с общественностью мэрии города, в ней приняли участие более 30 организаций: школ, центров дополнительного образования, учреждений среднего специального и высшего образования, некоммерческих организаций, библиотек. Организовано свыше 100 мероприятий различной направленности. Кроме того, активно говорили о профилактике заражения ВИЧ в молодежной среде.  Мастер-классы, спортивно-оздоровительные игры-эстафеты, чемпионаты, видео-лектории, беседы, тематические тренинги, викторины, выставки, флешмобы помогли охватить более 4000 человек.Провели и ряд спортивных мероприятий: чемпионатов, первенств, соревнований. Их участниками стали свыше 900 магаданцев. В образовательных организациях прошло более трехсот мероприятий, охватив около трех тысяч школьников с 1 по 11 классы.На заседании совета было объявлено о создании в Магадане медиагруппы. Присоединиться к ней предлагают добровольцам корпуса «Волонтеры Магадана» областного центра.Если вы хотели попробовать себя в роли блогера, журналиста, фотографа или видеографа, то добро пожаловать в группу медиаволонтеров. Изначально будем привлекать ребят к добровольческим мероприятиям на базе наших организаций и коллективов, а позже – и к городским событиям. Это хороший профориентационный момент, возможность попробовать себя в желаемой роли и, как знать, возможно, шаг в будущую профессию, - рассказал руководитель отдела по делам молодежи Алексей Кияненко.Кроме того, в ближайшее время появится ТГ-канал волонтеров Магадана, который будут вести сами добровольцы."
